0.00466313 0.00393825 0.00175825 0.99998 
5.5616 2.35241 4.60406 0 0
5.59137 2.35342 4.61825 0 0
5.62147 2.35419 4.59068 0 0
5.65103 2.35543 4.61879 0 0
5.68134 2.35609 4.56337 0 0
5.71112 2.35722 4.56364 0 0
5.74091 2.35842 4.56391 0 0
5.77054 2.35972 4.5781 0 0
5.80044 2.36082 4.56444 0 0
5.8301 2.36213 4.57863 0 0
5.85926 2.36386 4.64851 0 0
5.89012 2.36411 4.5374 0 0
5.91959 2.36551 4.57944 0 0
5.94906 2.36684 4.62148 0 0
5.97935 2.3674 4.57998 0 0
6.00874 2.36865 4.63594 0 0
6.03816 2.36979 4.69191 0 0
6.06888 2.36974 4.60864 0 0
6.09856 2.37053 4.63677 0 0
6.12835 2.37111 4.65096 0 0
6.15837 2.37145 4.63732 0 0
6.21841 2.37195 4.5961 0 0
6.24815 2.37237 4.59637 0 0
6.27924 2.3716 4.44349 0 0
6.30765 2.37306 4.56907 0 0
6.36764 2.37322 4.4443 0 0
6.3979 2.37303 4.33318 0 0
6.42649 2.37427 4.38914 0 0
6.45531 2.37529 4.40332 0 0
6.48374 2.37666 4.44535 0 0
6.51373 2.37674 4.30638 0 0
6.57064 2.37957 4.32081 0 0
6.62914 2.38129 4.14032 0 0
6.68654 2.38429 4.08513 0 0
6.71497 2.38621 4.0993 0 0
6.74396 2.38783 4.07171 0 0
6.92379 2.39807 3.93405 0 0
6.98682 2.40176 3.93461 0 0
7.0516 2.40569 3.97696 0 0
7.15436 2.40982 3.82471 0 0
7.29346 2.41759 3.83987 0 0
7.56932 2.4373 3.67518 0 0
7.60225 2.44053 3.66154 0 0
8.15633 2.50691 3.47122 0 0
4.29699 2.38255 5.77568 0 0
4.3512 2.38298 5.8458 0 0
4.46551 2.38092 5.62408 0 0
4.49426 2.38074 5.61043 0 0
4.55193 2.38071 5.62489 0 0
4.64153 2.37913 5.44471 0 0
4.73204 2.37777 5.27846 0 0
4.82417 2.37585 5.02868 0 0
4.88324 2.37691 5.15455 0 0
4.91359 2.37686 5.14091 0 0
4.97539 2.37604 5.01616 0 0
5.00603 2.37593 4.9886 0 0
5.03596 2.37649 5.04458 0 0
5.09824 2.3757 4.90591 0 0
5.12256 2.38117 5.5745 0 0
5.15975 2.37578 4.86471 0 0
5.19059 2.3758 4.83714 0 0
5.22143 2.37585 4.80958 0 0
5.25187 2.37628 4.82379 0 0
5.28257 2.37654 4.81014 0 0
5.31338 2.37671 4.78258 0 0
5.34402 2.37704 4.76894 0 0
5.37485 2.3772 4.72745 0 0
5.40513 2.37788 4.74165 0 0
5.43611 2.37792 4.67231 0 0
5.46662 2.37837 4.64474 0 0
5.49642 2.37943 4.68679 0 0
5.52718 2.37967 4.61745 0 0
5.5571 2.38063 4.63164 0 0
5.58737 2.38136 4.60407 0 0
5.61707 2.3826 4.63219 0 0
5.6474 2.38336 4.59069 0 0
5.67717 2.38461 4.60488 0 0
5.70734 2.38559 4.5773 0 0
5.73739 2.38673 4.56365 0 0
5.76701 2.38821 4.59176 0 0
5.79693 2.3895 4.59203 0 0
5.82711 2.39054 4.56445 0 0
5.85703 2.3918 4.56472 0 0
5.88635 2.39356 4.63461 0 0
5.94614 2.39591 4.64907 0 0
5.97614 2.3969 4.64934 0 0
6.00642 2.39761 4.62177 0 0
6.03655 2.39833 4.60812 0 0
6.06631 2.39931 4.63624 0 0
6.09617 2.40012 4.65043 0 0
6.12614 2.40074 4.65071 0 0
6.15311 2.40387 4.97121 0 0
6.18586 2.40202 4.66518 0 0
6.21533 2.40292 4.70722 0 0
6.24601 2.40273 4.61003 0 0
6.27596 2.4031 4.58246 0 0
6.33663 2.40308 4.41592 0 0
6.36563 2.40417 4.45796 0 0
6.39618 2.40387 4.319 0 0
6.42465 2.40535 4.38888 0 0
6.45403 2.40603 4.34737 0 0
6.48247 2.40748 4.3894 0 0
6.51272 2.40739 4.22258 0 0
6.54079 2.40917 4.27853 0 0
6.5991 2.41093 4.12588 0 0
6.628 2.41209 4.07044 0 0
6.65612 2.41399 4.09854 0 0
6.68482 2.41552 4.07094 0 0
6.71336 2.4173 4.07119 0 0
6.83036 2.4241 3.98868 0 0
6.85904 2.42697 4.11425 0 0
6.89126 2.42722 3.90567 0 0
6.92161 2.42942 3.94771 0 0
6.95352 2.43072 3.87837 0 0
6.98493 2.43288 3.92042 0 0
7.18785 2.44269 3.79691 0 0
7.29331 2.44847 3.78392 0 0
7.32854 2.45062 3.78423 0 0
7.39854 2.45541 3.79877 0 0
7.50266 2.46274 3.70221 0 0
8.12664 2.53489 3.4568 0 0
8.15658 2.53837 3.45705 0 0
8.18632 2.54194 3.47122 0 0
8.33413 2.55939 3.48639 0 0
8.4786 2.57783 3.47366 0 0
4.29313 2.41207 5.81718 0 0
4.32083 2.41182 5.78959 0 0
4.34832 2.41186 5.80377 0 0
4.3768 2.41122 5.73442 0 0
4.40406 2.41179 5.81822 0 0
4.43385 2.41039 5.6514 0 0
4.46294 2.40976 5.58206 0 0
4.49144 2.40979 5.59624 0 0
4.52167 2.4085 5.44336 0 0
4.55064 2.40845 5.44363 0 0
4.57977 2.40839 5.4439 0 0
4.60914 2.40822 5.43025 0 0
4.63981 2.40708 5.2913 0 0
4.66798 2.40814 5.4308 0 0
4.69914 2.4068 5.264 0 0
4.78921 2.40612 5.18129 0 0
4.82045 2.40503 5.04234 0 0
4.84956 2.40582 5.14008 0 0
4.87965 2.40585 5.14036 0 0
4.97161 2.4049 5.00198 0 0
5.00182 2.40508 5.01618 0 0
5.03246 2.40492 4.98862 0 0
5.06288 2.40503 4.9889 0 0
5.11787 2.41031 5.62992 0 0
5.18645 2.40428 4.82296 0 0
5.27832 2.40482 4.79596 0 0
5.29858 2.41383 5.89616 0 0
5.32905 2.41419 5.89644 0 0
5.40129 2.40545 4.67177 0 0
5.43174 2.40589 4.65813 0 0
5.46203 2.40652 4.6584 0 0
5.49252 2.40701 4.63083 0 0
5.52295 2.40758 4.60326 0 0
5.58308 2.40953 4.61773 0 0
5.61327 2.41048 4.60408 0 0
5.64384 2.41118 4.54866 0 0
5.67311 2.41305 4.63247 0 0
5.70366 2.41387 4.57705 0 0
5.73318 2.41562 4.63301 0 0
5.76373 2.41652 4.57758 0 0
5.8237 2.41935 4.59205 0 0
5.85351 2.42089 4.62016 0 0
5.88409 2.42175 4.56474 0 0
5.94387 2.42451 4.60705 0 0
5.97422 2.42539 4.57947 0 0
6.00329 2.4273 4.69113 0 0
6.03401 2.42772 4.62179 0 0
6.06359 2.42905 4.67775 0 0
6.12382 2.43056 4.66438 0 0
6.15511 2.43019 4.52542 0 0
6.21444 2.43208 4.58166 0 0
6.24414 2.43291 4.59585 0 0
6.27376 2.43376 4.61005 0 0
6.30406 2.43398 4.5407 0 0
6.39478 2.43455 4.27697 0 0
6.42316 2.43625 4.36077 0 0
6.45229 2.43725 4.34711 0 0
6.54015 2.43968 4.16688 0 0
6.59819 2.44169 4.04208 0 0
